GLD_delta,GLD_pre,QQQ->TQQQ_delta,QQQ->TQQQ_pre,XLE->XLE_delta,XLE->XLE_pre,XLV->XLV_delta,XLV->XLV_pre,date,total_equity
14413.43,958604.78,57041.8,13808467.78,38339.73,2549888.72,-109794.97,2143403.04,2021-02-01,19460364.32
5431.78,902092.82,92521.91,12839703.61,14448.52,2399566.91,-112402.21,2009128.63,2021-03-01,18150491.97
261.05,910052.84,38337.88,12933634.95,694.39,2420740.54,-39293.32,1941849.33,2021-04-01,18206277.66
-21673.49,943077.99,159454.93,12970559.23,-57651.47,2508587.45,-80129.97,2005865.38,2021-05-03,18428090.05
-46301.72,976806.28,132554.46,13127135.38,-123162.59,2598304.69,36909.85,1907844.66,2021-06-01,18610091.01
54793.62,869307.79,-91244.78,13259689.84,145751.02,2312358.73,-109299.85,2040671.79,2021-07-01,18482028.15
-11636.67,943061.61,107231.26,13165574.1,-30953.55,2508543.89,-64641.03,2011319.15,2021-08-02,18628498.75
1671.64,931919.18,32310.91,13271358.19,4446.55,2478905.02,-38429.09,1989633.89,2021-09-01,18671816.28
17650.9,905478.56,-150524.9,13305119.79,46951.4,2408572.98,85922.59,1843417.99,2021-10-01,18462589.32
-11838.15,939562.84,66916.32,13153160.61,-31489.47,2499237.16,-23588.71,1962533.32,2021-11-01,18554493.93
2648.82,920193.03,-68122.09,13218618.39,7045.86,2447713.45,58427.41,1870312.05,2021-12-01,18456836.91
-2188.74,934893.88,143420.36,13147628.01,-5822.04,2486817.73,-135409.59,2084763.35,2022-01-03,18654102.97
-9937.59,932151.06,-149506.48,13291048.37,-26433.99,2479521.81,185878.05,1741548.09,2022-02-01,18444269.32
-52213.0,995615.58,300224.75,13143262.07,-138886.58,2648337.45,-109125.17,2080836.57,2022-03-01,18868051.68
7993.59,932390.51,-45963.14,13446436.53,21262.95,2480158.75,16706.6,1948696.16,2022-04-01,18807681.94
