date,equity,QQQ->TQQQ_eq,QQQ->TQQQ_state,XLE->XLE_eq,XLE->XLE_state,XLV->XLV_eq,XLV->XLV_state,safety_gld,vix,vix_sma
2000-09-18,102479.84,73089.68,cash,13643.41,cash,10719.82,cash,5026.93,20.25,18.1
2000-09-19,102503.33,73101.06,cash,13645.53,cash,10721.49,cash,5035.25,19.54,18.21
2000-09-20,102466.71,73112.44,cash,13647.65,cash,10723.16,cash,4983.46,19.93,18.34
2000-09-21,102505.93,73123.82,cash,13649.78,cash,10724.83,cash,5007.51,20.18,18.48
2000-09-22,102547.0,73135.2,cash,13651.9,cash,10726.5,cash,5033.4,20.74,18.66
2000-09-25,102601.94,73146.58,cash,13654.03,cash,10728.17,cash,5073.16,21.41,18.91
2000-09-26,102618.04,73157.97,cash,13656.15,cash,10729.84,cash,5074.09,21.88,19.17
2000-09-27,102711.83,73169.35,cash,13658.28,cash,10731.51,cash,5152.69,21.67,19.41
2000-09-28,102670.61,73180.74,cash,13660.41,cash,10733.18,cash,5096.28,19.47,19.5
2000-09-29,102661.75,73192.13,cash,13662.53,cash,10734.85,cash,5072.24,20.57,19.69
2000-10-02,102661.22,73146.12,cash,13653.94,cash,10728.1,cash,5133.06,21.23,19.87
2000-10-03,102654.81,73157.5,cash,13656.07,cash,10729.77,cash,5111.47,21.85,19.97
2000-10-04,102641.83,73168.89,cash,13658.19,cash,10731.44,cash,5083.31,21.54,20.01
2000-10-05,102649.5,73180.28,cash,13660.32,cash,10733.11,cash,5075.8,21.03,20.09
2000-10-06,102651.55,73191.67,cash,13662.45,cash,10734.78,cash,5062.66,22.71,20.3
2000-10-09,102684.57,73203.06,cash,13664.57,cash,10736.45,cash,5080.49,24.02,20.59
2000-10-10,102740.13,73214.46,cash,13666.7,cash,10738.12,cash,5120.86,24.86,20.9
2000-10-11,102727.16,73225.85,cash,13668.83,cash,10739.79,cash,5092.69,26.57,21.31
2000-10-12,102843.75,73237.25,cash,13670.95,cash,10741.46,cash,5194.08,30.51,21.92
2000-10-13,102783.85,73248.65,cash,13673.08,cash,10743.14,cash,5118.98,27.6,22.38
2000-10-16,102787.78,73260.05,cash,13675.21,cash,10744.81,cash,5107.71,26.79,22.71
2000-10-17,102787.97,73271.45,cash,13677.34,cash,10746.48,cash,5092.69,27.84,23.12
2000-10-18,102791.91,73282.86,cash,13679.47,cash,10748.15,cash,5081.43,28.72,23.56
2000-10-19,102810.87,73294.26,cash,13681.6,cash,10749.83,cash,5085.18,25.09,23.81
2000-10-20,102838.29,73305.67,cash,13683.73,cash,10751.5,cash,5097.39,24.24,23.98
2000-10-23,102831.91,73317.08,cash,13685.86,cash,10753.17,cash,5075.8,24.69,24.14
2000-10-24,102846.19,73328.49,cash,13687.99,cash,10754.85,cash,5074.86,24.28,24.26
2000-10-25,102794.75,73339.91,cash,13690.12,cash,10756.52,cash,5008.21,26.65,24.51
2000-10-26,102783.69,73351.32,cash,13692.25,cash,10758.19,cash,4981.92,28.62,24.97
2000-10-27,102783.89,73362.74,cash,13694.38,cash,10759.87,cash,4966.9,26.47,25.27
2000-10-30,102804.75,73374.16,cash,13696.51,cash,10761.54,cash,4972.54,25.46,25.48
2000-10-31,102823.73,73385.58,cash,13698.64,cash,10763.22,cash,4976.29,23.63,25.57
2000-11-01,102824.88,73262.73,cash,13675.71,cash,10745.2,cash,5141.24,24.28,25.7
2000-11-02,102846.89,73274.13,cash,13677.84,cash,10746.87,cash,5148.05,23.92,25.85
2000-11-03,102872.8,73285.54,cash,13679.97,cash,10748.55,cash,5158.75,23.67,25.9
2000-11-06,102884.12,73296.94,cash,13682.1,cash,10750.22,cash,5154.86,24.52,25.92
2000-11-07,102887.66,73308.35,cash,13684.23,cash,10751.89,cash,5143.19,24.91,25.92
2000-11-08,102917.46,73319.76,cash,13686.36,cash,10753.56,cash,5157.78,25.66,25.88
2000-11-09,102944.35,73331.17,cash,13688.49,cash,10755.24,cash,5169.45,27.2,25.71
2000-11-10,102938.17,73342.59,cash,13690.62,cash,10756.91,cash,5148.05,28.53,25.76
2000-11-13,102949.5,73354.0,cash,13692.75,cash,10758.59,cash,5144.16,29.06,25.87
2000-11-14,102968.61,73365.42,cash,13694.88,cash,10760.26,cash,5148.05,26.81,25.82
2000-11-15,102995.51,73376.84,cash,13697.01,cash,10761.94,cash,5159.72,26.15,25.69
2000-11-16,103022.41,73388.26,cash,13699.14,cash,10763.61,cash,5171.4,25.05,25.69
2000-11-17,103036.67,73399.68,cash,13701.27,cash,10765.29,cash,5170.42,24.81,25.72
2000-11-20,103062.6,73411.11,cash,13703.41,cash,10766.96,cash,5181.12,27.43,25.86
2000-11-21,103068.11,73422.54,cash,13705.54,cash,10768.64,cash,5171.4,26.62,25.97
2000-11-22,103098.91,73433.96,cash,13707.67,cash,10770.31,cash,5186.96,27.71,26.03
2000-11-24,103115.77,73456.83,cash,13711.94,cash,10773.67,cash,5173.34,26,25.89
2000-11-27,103210.77,73468.26,cash,13714.07,cash,10775.34,cash,5253.09,26.93,25.92
2000-11-28,103215.32,73479.69,cash,13716.21,cash,10777.02,cash,5242.4,27.64,26.03
2000-11-29,103180.97,73491.13,cash,13718.34,cash,10778.7,cash,5192.79,27.49,26.22
2000-11-30,103262.36,73502.57,cash,13720.48,cash,10780.38,cash,5258.93,29.65,26.49
2000-12-01,103259.13,73572.13,cash,13733.46,cash,10790.58,cash,5162.96,27.48,26.67
